,Unnamed: 0,mukey,OBJECTID_1,tk0_5a,tk5_20a,tk20_50a,tk50_100a,tk100_150a,tk150_999a,tk0_20a,tk0_30a,tk0_100a,tk0_150a,tk0_999a,musumcpcta,soc0_5,soc5_20,soc20_50,soc50_100,soc100_150,soc150_999,soc0_20,soc0_30,soc0_100,soc0_150,soc0_999,tk0_5s,tk5_20s,tk20_50s,tk50_100s,tk100_150s,tk150_999s,tk0_20s,tk0_30s,tk0_100s,tk0_150s,tk0_999s,musumcpcts,nccpi2cs,nccpi2sg,nccpi2co,nccpi2all,pctearthmc,rootznemc,rootznaws,droughty,pwsl1pomu,musumcpct
48,48,409116,55608,5.0,15.0,30.0,50.0,50.0,2.0,20.0,30.0,100.0,150.0,152.0,100,1112.9599609,3133.0600586,4911.3999023,5856.3798828,1094.0600586,40.5200005,4246.0200195,5883.1499023,15013.7998047,16107.8603516,16148.3798828,5.0,14.5,28.5,47.5,47.5,1.9,19.5,29.0,95.5,143.0,144.8999939,100,0.61,0.42,0.0,0.61,95,150,,0,0,100
49,49,409117,55609,5.0,15.0,30.0,50.0,50.0,2.0,20.0,30.0,100.0,150.0,152.0,100,1129.2700195,3230.9099121,5027.4501953,5971.8798828,1209.5600586,45.1399994,4360.1801758,6067.1601563,15359.5097656,16569.0703125,16614.2109375,5.0,15.0,30.0,50.0,50.0,2.0,20.0,30.0,100.0,150.0,152.0,100,0.61,0.42,0.0,0.61,95,150,289.0,0,0,100
50,50,409118,55610,5.0,15.0,30.0,50.0,50.0,2.0,20.0,30.0,100.0,150.0,152.0,100,1113.5999756,3240.0200195,5169.8901367,6164.6098633,1151.6500244,42.6500015,4353.6201172,6076.9199219,15688.1201172,16839.7695313,16882.4199219,5.0,15.0,30.0,50.0,50.0,2.0,20.0,30.0,100.0,150.0,152.0,100,0.58,0.4,0.0,0.58,100,150,289.0,0,0,100
51,51,409119,55578,5.0,15.0,30.0,50.0,50.0,4.5500002,20.0,30.0,100.0,150.0,154.5500031,100,977.8800049,2915.0800781,5381.5297852,12018.0898438,14429.4599609,611.1400146,3892.9599609,5737.0698242,21292.5800781,35722.0390625,36333.1796875,5.0,15.0,30.0,50.0,50.0,4.5500002,20.0,30.0,100.0,150.0,154.5500031,100,0.84,0.47,0.0,0.84,85,150,308.0,0,10,100
52,52,409120,55625,5.0,15.0,30.0,49.8499985,48.6500015,4.5500002,20.0,30.0,99.8499985,148.5,153.0500031,100,2104.8000488,6314.3901367,12553.8398438,9645.5800781,4368.0297852,186.8800049,8419.1796875,12628.7695313,30618.5996094,34986.6289063,35173.5117188,5.0,15.0,30.0,49.0499992,46.1500015,1.9,20.0,30.0,99.0500031,145.1999969,147.1000061,100,0.71,0.32,0.0,0.71,90,150,289.0,0,5,100
53,53,409121,55597,5.0,15.0,30.0,50.0,50.0,45.3499985,20.0,30.0,100.0,150.0,195.3500061,100,1757.1999512,5271.6098633,10114.3095703,7390.4902344,3957.4099121,2201.4199219,7028.8100586,10400.25,24533.609375,28491.0195313,30692.4394531,5.0,15.0,30.0,50.0,50.0,45.3499985,20.0,30.0,100.0,150.0,195.3500061,100,0.84,0.49,0.0,0.84,85,150,297.0,0,5,100
54,54,409122,55621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,100
55,55,409123,55653,5.0,15.0,30.0,50.0,50.0,50.0,20.0,30.0,100.0,150.0,200.0,100,1400.6999512,4202.1000977,2916.6799316,3110.25,1847.1500244,1073.0,5602.7998047,7303.6499023,11629.7197266,13476.8798828,14549.8798828,5.0,15.0,30.0,50.0,50.0,50.0,20.0,30.0,100.0,150.0,200.0,100,0.9,0.23,0.0,0.9,100,150,,0,100,100
56,56,409124,55670,5.0,15.0,30.0,50.0,50.0,50.4500008,20.0,30.0,100.0,150.0,200.4499969,100,2235.6101074,6706.8300781,13413.6601563,15683.9003906,12188.7001953,3023.25,8942.4404297,13413.6601563,38040.0,50228.6992188,53251.9492188,5.0,15.0,30.0,50.0,50.0,50.4500008,20.0,30.0,100.0,150.0,200.4499969,100,0.72,0.41,0.0,0.72,95,150,,0,95,100
57,57,409125,55612,5.0,15.0,30.0,50.0,50.0,27.5,20.0,30.0,100.0,150.0,177.5,100,865.7700195,1653.6600342,893.2600098,587.25,587.25,461.5700073,2519.4299316,2846.8000488,3999.9399414,4587.2001953,5048.7700195,5.0,13.0,24.0,40.0,40.0,27.1000004,18.0,26.0,82.0,122.0,149.1000061,100,0.38,0.29,0.0,0.38,80,150,88.0,1,0,100
